Iterations,MLUPS
0,0
1,262.7108254374136
2,335.96505963379815
3,358.0151639311656
4,379.69877230730293
5,390.4125098579159
6,407.7102539128859
7,415.1017987744613
8,425.75007406277336
9,429.82405868531157
10,437.1463668036878
11,438.0224745349661
12,443.7147801393264
13,443.45343340978167
14,447.9015810925813
15,448.9655832960859
16,452.5535333117114
17,453.2148931745838
18,456.2205674370036
19,456.57309054325
20,459.0272294952537
21,459.3842355372354
22,461.55169483880303
23,461.69596317138286
24,463.58686169079147
25,463.61832466882197
26,465.19089824187665
27,465.1229561147877
28,466.61300617095696
29,466.5847551207678
30,467.8121827648636
31,467.7527247853619
32,468.8628659145
33,468.72847222452384
34,469.7200928756357
35,469.60157213661563
36,470.43900671159656
37,470.3214456410101
38,471.0736015312372
39,470.9403632520002
40,471.59485914444053
41,471.40000820159366
42,472.024140663194
43,471.86150828153524
44,472.4199784977331
45,472.2556785247152
46,472.7633497407338
47,472.5806051578989
48,473.078079237293
49,472.9475604110075
50,473.35485520074985
51,473.190949248879
52,473.568502594609
53,473.4028014727293
54,473.72216370551325
55,473.56991929794555
56,473.8971524704851
57,473.7447081192363
58,473.9917460058024
59,473.8609467099193
60,474.0640855633001
61,473.9289852377596
62,474.14942436730377
63,473.99557453655655
64,474.21095125975876
65,474.02581617521946
66,474.33522995556353
67,474.19752096141787
68,474.3289233919262
69,474.21300686096885
70,474.3447266419105
71,474.2181189615113
72,474.348610652684
73,474.191017133236
74,474.2985722331088
75,474.1841503631619
76,474.30070290116015
77,474.19574554040463
78,474.28272844719436
79,474.17364238784245
80,474.25225240179134
81,474.1444911434492
82,474.23551692442464
83,474.1136787508533
84,474.1909352381258
85,474.0898729383366
86,474.13789142793615
87,474.03453150858496
88,473.93330896645915
89,473.8342346831753
90,473.56133382232923
91,473.473023484262
92,473.50856810322756
93,473.4178426603436
94,473.46871068593697
95,473.385833206405
96,473.4238274212341
97,473.3054121091368
98,473.34686826305847
99,473.21552338114884
100,473.2548687277758
101,473.1695677322716
102,473.18443693294216
103,472.2939239463107
104,472.3242227238817
105,472.257991392311
106,471.40282216121
107,471.32930280705233
108,470.0068876317978
109,469.92744578912675
110,469.95144689505923
111,469.45530637456864
112,469.4918337764163
113,468.7267321768734
114,468.76529141164417
115,468.48208680660747
116,468.03684902529994
117,468.0054288629749
118,467.5927204002911
119,467.54197859050635
120,467.3597871955103
121,467.3302670631551
122,467.35696737937764
123,467.3409717196654
124,467.3726758103357
125,467.3448109895572
126,467.37684867326806
127,467.34807078471056
128,467.384531981943
129,467.36945990567835
130,467.38671384955524
131,467.3793587436273
132,467.3910362189105
133,467.36886789204
134,467.37816660334204
135,467.3639737154502
136,467.38018514212143
137,467.3525263985951
138,467.36346721377555
139,467.34203755076464
140,467.35414461339303
141,467.33664844053743
142,467.35046842010865
143,467.3403703100515
144,467.3304128788473
145,467.3197899402917
146,467.33424331917433
147,467.3125965223042
148,467.3081628947847
149,467.30212786598906
150,467.30500530391186
151,467.2946363859743
152,467.28502685556737
153,467.2705485277771
154,467.2543215715038
155,467.232014054339
156,467.2291186770947
157,467.21791767818695
158,467.2202602475992
159,467.2113613265747
160,467.20521151839944
161,467.1874339541575
162,467.188065209841
163,467.18043138810486
164,467.1684106038114
165,467.1618267443068
166,467.1520795771993
167,467.1461083838647
168,467.13800025822354
169,467.1217249192948
170,467.1147976747209
171,467.1030605084212
172,467.10372246362454
173,467.0810458511594
174,467.08608969305646
175,467.0732071862015
176,467.05964546280745
177,467.05667218162966
178,467.0395169656915
179,466.7878286768712
180,466.44337273800875
181,466.43301493625023
182,466.112749430079
183,466.0357555534655
184,466.03582414003097
185,465.66782177457696
186,465.6703713053583
187,465.3130287648054
188,465.31121400025745
189,465.30728006475897
190,465.0589768212974
191,465.0628626201869
192,464.773553610177
193,464.7717465014487
194,464.82485806668797
195,464.64201358216116
196,464.6481392699034
197,464.3813238560779
198,464.3910566725959
199,464.39668220074867
200,464.2128273454779
201,464.1991951879094
202,463.9567965880954
203,463.9588534776801
204,463.8996970022453
205,463.88902989942056
206,463.8949717763447
207,463.290978889076
208,463.2957299057171
209,463.0367099491524
210,463.047725741095
211,463.0552841191643
212,462.83230959580914
213,462.83325805351603
214,462.5849144142252
215,462.5940034046919
216,462.6084907933414
217,462.3102459668047
218,462.3316033129806
219,462.09430564070857
220,462.09206722347363
221,462.1022810079517
222,461.8385445733832
223,461.8563283015617
224,461.57897650631696
225,461.5952101325004
226,461.61698984735386
227,461.45939889119643
228,461.47948433580757
229,461.26387241025014
230,461.2825500020257
231,461.250038187909
232,461.2408877588194
233,461.25528216483536
234,461.0046841884785
235,461.02612644867656
236,460.9842586897812
237,460.99015108482143
238,460.9999528023859
239,460.79818858111247
240,460.8203203328455
241,460.83569078728266
242,460.7008236772303
243,460.7171337099713
244,460.49109110155706
245,460.51113854267714
246,460.4741011395799
247,460.48403770301616
248,460.49494913171026
249,460.3066541979228
250,460.3125853879847
251,460.28200310815663
252,460.29081490287723
253,460.3065920876997
254,460.0940838059563
255,460.11043973747127
256,460.0820695354143
257,460.08533001514945
258,460.11088315608964
259,459.9337612512851
260,459.94699051966705
261,459.9192151604881
262,459.9224673705197
263,459.9412720867997
264,459.73018945991925
265,459.7518750936854
266,459.72768220857336
267,459.7251234040551
268,459.74224699595044
269,459.52624381710865
270,459.5477947577852
271,459.51129024326974
272,459.5174166111042
273,459.5372925173695
274,459.33240226320123
275,459.3532506675656
276,459.3170211072259
277,459.32302198289034
278,459.3453986589318
279,459.19060113096947
280,459.2144579079928
281,459.1895179724762
282,459.20124494559747
283,459.21785733274913
284,459.0484840866695
285,459.0699414801264
286,459.0882539380864
287,458.9773164454558
288,458.9943041675568
289,458.80890878836567
290,458.82550059312433
291,458.7493190357689
292,458.7549934119432
293,458.7714039172189
294,458.5719497569439
295,458.59268217697945
296,458.5313869639837
297,458.4219521448643
298,458.447150274053
299,458.38542548975573
300,458.4113906062338
301,458.4312280306481
302,458.4347438888018
303,458.45740431403885
304,458.4780739899156
305,458.50063177879406
306,458.5259071383144
307,458.5419342324407
308,458.5633883983264
309,458.3921137568023
310,458.4166102970328
311,458.43491499275274
312,458.38294251290233
313,458.40602412885283
314,458.4308127408922
315,458.4523106020712
316,458.4711245406826
317,458.4959443116901
318,458.5192663403362
319,458.53976407003154
320,458.561975439134
321,458.57795784806655
322,458.6423095631433
323,458.6541506307324
324,458.68665458256993
325,458.7051726841493
326,458.7184794035872
327,458.73906332871735
328,458.7571708780948
329,458.7717365188857
330,458.79146634896676
331,458.81093025325356
332,458.8329206908219
333,458.8480369709343
334,458.870208424161
335,458.87999219767045
336,458.8990774398567
337,458.9210923992454
338,458.9346705138729
339,458.9581109338308
340,458.9752405806469
341,458.99428922266605
342,459.01692443717974
343,459.03330708204084
344,459.0535978436936
345,459.06243129310167
346,459.08355864768134
347,459.09877543229703
348,459.1120482743126
349,459.128124899689
350,459.1478652903892
351,459.1665338150643
352,459.17497475515995
353,459.2045138199311
354,459.2252515425774
355,459.24185422456145
356,459.260497714534
357,459.27076636081347
358,459.29341087152636
359,459.3074104836724
360,459.32088386607325
361,459.3385109789327
362,459.3540990712587
363,459.36907913752333
364,459.38299227020804
365,459.398044239738
366,459.4154177303723
367,459.42493351274135
368,459.44124287512335
369,459.4553482657013
370,459.47339133708863
371,459.4890052909354
372,459.5009037880456
373,459.51381467302764
374,459.530609550971
375,459.5477102841304
376,459.56631281147025
377,459.57350116258687
378,459.5883069548963
379,459.6028497802031
380,459.6168722450958
381,459.630008700398
382,459.6452340965958
383,459.6606752091276
384,459.6404191505669
385,459.65409099503404
386,459.60121220415056
387,459.6086897157983
388,459.6189963848044
389,459.56707600034406
390,459.58516115000145
391,459.592728749351
392,459.60613161478165
393,459.62029126516
394,459.63763288952254
395,459.6499670467823
396,459.6617415794071
397,459.68032340498456
398,459.6898225597285
399,459.7045002574269
400,459.7180311793794
401,459.7288425277382
402,459.745524371602
403,459.7523163302806
404,459.66074912869254
405,459.6467075960307
406,459.661357137703
407,459.6437147599427
