Iterations,MLUPS
0,32.399998
1,32.7
2,33
3,33.3
4,33.6
5,33.899998
6,34.2
7,34.5
8,34.8
9,35.1
10,35.399998
11,35.7
12,36
13,36.3
14,36.6
15,36.899998
16,37.2
17,37.5
18,37.8
19,38.1
20,38.399998
21,38.7
22,39
23,39.3
24,39.6
25,39.899998
26,40.2
27,40.5
28,40.8
29,41.1
30,41.399998
31,41.7
32,42
33,42.3
34,42.6
35,42.899998
36,43.2
37,43.5
38,43.8
39,44.1
40,44.399998
41,44.7
42,45
43,45.3
44,45.6
45,45.899998
46,46.199997
47,46.5
48,46.8
49,47.1
50,47.399998
51,47.699997
52,48
53,48.3
54,48.6
55,48.899998
56,49.199997
57,49.5
58,49.8
59,50.1
60,50.399998
61,50.699997
62,51
63,51.3
64,51.6
65,51.899998
66,52.199997
67,52.5
68,52.8
69,53.1
70,53.399998
71,53.699997
72,54
73,54.3
74,54.6
75,54.899998
76,55.199997
77,55.5
78,55.8
79,56.1
80,56.399998
81,56.699997
82,57
83,57.3
84,57.6
85,57.899998
86,58.199997
87,58.5
88,58.8
89,59.1
90,59.399998
91,59.699997
92,60
93,60.3
94,60.6
95,60.899998
96,61.199997
97,61.5
98,61.8
99,62.1
100,62.399998
101,62.699997
102,63
103,63.3
104,63.6
105,63.899998
106,64.2
107,64.5
108,64.799995
109,65.1
110,65.4
111,65.7
112,66
113,66.299995
114,66.6
115,66.9
116,67.2
117,67.5
118,67.799995
119,68.1
120,68.4
121,68.7
122,69
123,69.299995
124,69.6
125,69.9
126,70.2
127,70.5
128,70.799995
129,71.1
130,71.4
131,71.7
132,72
133,72.299995
134,72.6
135,72.9
136,73.2
137,73.5
138,73.799995
139,74.1
140,74.4
141,74.7
142,75
143,75.299995
144,75.6
145,75.9
146,76.2
147,76.5
148,76.799995
149,77.1
150,77.4
151,77.7
152,78
153,78.299995
154,78.6
155,78.9
156,79.2
157,79.5
158,79.799995
159,80.1
160,80.4
161,80.7
162,81
163,81.299995
164,81.6
165,81.9
166,82.2
167,82.5
168,82.799995
169,83.1
170,83.4
171,83.7
172,84
173,84.299995
174,84.6
175,84.9
176,85.2
177,85.5
178,85.799995
179,86.1
180,86.4
181,86.7
182,87
183,87.299995
184,87.6
185,87.9
186,88.2
187,88.5
188,88.799995
189,89.1
190,89.4
191,89.7
192,90
193,90.299995
194,90.6
195,90.899994
196,91.2
197,91.5
198,91.799995
199,92.1
200,92.399994
201,92.7
202,93
203,93.299995
204,93.6
205,93.899994
206,94.2
207,94.5
208,94.799995
209,95.1
210,95.399994
211,95.7
212,96
213,96.299995
214,96.6
215,96.899994
216,97.2
217,97.5
218,97.799995
219,98.1
220,98.399994
221,98.7
222,99
223,99.299995
224,99.6
225,99.899994
226,100.2
227,100.5
228,100.799995
229,101.1
230,101.399994
231,101.7
232,102
233,102.299995
234,102.6
235,102.899994
236,103.2
237,103.5
238,103.799995
239,104.1
240,104.399994
241,104.7
242,105
243,105.299995
244,105.6
245,105.899994
246,106.2
247,106.5
248,106.799995
249,107.1
250,107.399994
251,107.7
252,108
253,54.149998
254,54.3
255,54.449997
256,54.6
257,54.75
258,54.899998
259,55.05
260,55.199997
261,55.35
262,55.5
263,55.649998
264,55.8
265,55.949997
266,56.1
267,56.25
268,56.399998
269,56.55
270,56.699997
271,56.85
272,57
273,57.149998
274,57.3
275,57.449997
276,57.6
277,57.75
278,57.899998
279,58.05
280,58.199997
281,58.35
282,58.5
283,58.649998
284,58.8
285,58.949997
286,59.1
287,59.25
288,59.399998
289,59.55
290,59.699997
291,59.85
292,60
293,60.149998
294,60.3
295,60.449997
296,60.6
297,60.75
298,60.899998
299,61.05
300,61.199997
301,61.35
302,61.5
303,61.649998
304,61.8
305,61.949997
306,62.1
307,62.25
308,62.399998
309,62.55
310,62.699997
311,62.85
312,63
313,63.149998
314,63.3
315,63.449997
316,63.6
317,63.75
318,63.899998
319,64.049995
320,64.2
321,64.35
322,64.5
323,64.65
324,64.799995
325,64.95
326,65.1
327,65.25
328,65.4
329,65.549995
330,65.7
331,65.85
332,66
333,66.15
334,66.299995
335,66.45
336,66.6
337,66.75
338,66.9
339,67.049995
340,67.2
341,67.35
342,67.5
343,67.65
344,67.799995
345,67.95
346,68.1
347,68.25
348,68.4
349,68.549995
350,68.7
351,68.85
352,69
353,69.15
354,69.299995
355,69.45
356,69.6
357,69.75
358,69.9
359,70.049995
360,70.2
361,70.35
362,70.5
363,70.65
364,70.799995
365,70.95
366,71.1
367,71.25
368,71.4
369,71.549995
370,71.7
371,71.85
372,72
373,72.15
374,72.299995
375,72.45
376,72.6
377,72.75
378,72.9
379,73.049995
380,73.2
381,73.35
382,73.5
383,73.65
384,73.799995
385,73.95
386,74.1
387,74.25
388,74.4
389,74.549995
390,74.7
391,74.85
392,75
393,75.15
394,75.299995
395,75.45
396,75.6
397,75.75
398,75.9
399,76.049995
400,76.2
401,76.35
402,76.5
403,76.65
404,76.799995
405,76.95
406,77.1
407,77.25
408,77.4
409,77.549995
410,77.7
411,77.85
412,78
413,78.15
414,78.299995
415,78.45
416,78.6
417,78.75
418,78.9
419,79.049995
420,79.2
421,79.35
422,79.5
423,79.65
424,79.799995
425,79.95
426,80.1
427,80.25
428,80.4
429,80.549995
430,80.7
431,80.85
432,81
433,81.15
