Iterations,MLUPS
0,5400
1,5700
2,6000
3,6300
4,6600
5,6900
6,7200
7,7500
8,7800
9,8100
10,8400
11,8700
12,9000
13,9300
14,9600
15,9900
16,10200
17,10500
18,10800
19,5550
20,5700
21,5850
22,6000
23,6150
24,6300
25,6450
26,6600
27,6750
28,6900
29,7050
30,7200
31,7350
32,7500
33,7650
34,7800
35,7950
36,8100
37,8250
38,5600
39,5700
40,5800
41,5900
42,6000
43,6100
44,6200
45,6300
46,6400
47,6500
48,6600
49,6700
50,6800
51,6900
52,7000
53,7100
54,7200
55,7300
56,7400
57,7499.9995
58,5700
59,5775
60,5850
61,5924.9995
62,6000
63,6075
64,6150
65,6224.9995
66,6300
67,6375
68,6450
69,6524.9995
70,6600
71,6675
72,6750
73,6824.9995
74,6900
75,6975
76,7050
77,5699.9995
78,5760
79,5820
80,5880
81,5939.9995
82,6000
83,6060
84,6120
85,6179.9995
86,6240
87,6300
88,6360
89,6419.9995
90,6480
91,6540
92,6600
93,6659.999
94,6720
95,6780
96,5700
97,5749.9995
98,5800
99,5850
100,5900
101,5949.9995
102,6000
103,6050
104,6100
105,6149.9995
106,6200
107,6250
108,6300
109,6349.9995
110,6400
111,6450
112,6500
113,6549.9995
114,6600
115,6650
116,5742.857
117,5785.714
118,5828.5713
119,5871.4287
120,5914.2856
121,5957.142
122,6000
123,6042.857
124,6085.7144
125,6128.571
126,6171.4287
127,6214.2856
128,6257.143
129,6299.9995
130,6342.857
131,6385.7144
132,6428.571
133,6471.428
134,6514.2856
135,5737.5
136,5775
137,5812.4995
138,5850
139,5887.5
140,5924.9995
141,5962.4995
142,6000
143,6037.5
144,6075
145,6112.4995
146,6150
147,6187.5
148,6224.9995
149,6262.4995
150,6300
151,6337.5
152,6375
153,6412.4995
154,5733.3335
155,5766.6665
156,5799.9995
157,5833.333
158,5866.6665
159,5900
160,5933.3335
161,5966.666
162,6000
163,6033.3335
164,6066.666
165,6099.9995
166,6133.3335
167,6166.6665
168,6200
169,6233.333
170,6266.6665
171,6300
172,6333.333
173,5729.9995
174,5760
175,5790
176,5820
177,5849.9995
178,5880
179,5910
180,5939.9995
181,5969.9995
182,6000
183,6030
184,6060
185,6089.9995
186,6120
187,6150
188,6179.9995
189,6209.9995
190,6240
191,6270
192,6300
193,5754.545
194,5781.8184
195,5809.091
196,5836.3633
197,5863.636
198,5890.909
199,5918.1816
200,5945.4546
201,5972.727
202,6000
203,6027.273
204,6054.545
205,6081.8184
206,6109.091
207,6136.364
208,6163.636
209,6190.909
210,6218.1816
211,6245.4546
212,5749.9995
213,5775
214,5800
215,5825
216,5850
217,5875
218,5900
219,5925
220,5949.9995
221,5975
222,6000
223,6025
224,6050
225,6075
226,6100
227,6125
228,6149.9995
229,6175
230,6200
231,5746.154
232,5769.231
233,5792.3076
234,5815.385
235,5838.4614
236,5861.538
237,5884.615
238,5907.6924
239,5930.769
240,5953.846
241,5976.923
242,6000
243,6023.077
244,6046.1533
245,6069.231
246,6092.3076
247,6115.385
248,6138.4614
249,6161.5386
250,6184.615
251,5764.2856
252,5785.714
253,5807.143
254,5828.5713
255,5850
256,5871.4287
257,5892.857
258,5914.2856
259,5935.7144
260,5957.142
261,5978.5713
262,6000
263,6021.4287
264,6042.857
265,6064.2856
266,6085.7144
267,6107.143
268,6128.571
269,6150
270,5760
271,5780
272,5800
273,5820
274,5840
275,5859.9995
276,5879.9995
277,5900
278,5920
279,5940
280,5960
281,5980
282,5999.9995
283,6019.9995
284,6039.9995
285,6060
286,6080
287,6100
288,6120
289,5756.25
290,5775
291,5793.7495
292,5812.4995
293,5831.25
294,5850
295,5868.75
296,5887.5
297,5906.25
298,5924.9995
299,5943.7495
300,5962.4995
301,5981.25
302,6000
303,6018.75
304,6037.5
305,6056.25
306,6075
307,6093.7495
308,6112.4995
309,5770.5884
310,5788.2354
311,5805.8823
312,5823.5293
313,5841.1763
314,5858.823
315,5876.47
316,5894.117
317,5911.7646
318,5929.4116
319,5947.0586
320,5964.706
321,5982.353
322,6000
323,6017.6465
324,6035.2935
325,6052.9414
326,6070.5884
327,6088.2354
328,5766.6665
329,5783.3335
330,5799.9995
331,5816.666
332,5833.333
333,5849.9995
334,5866.6665
335,5883.3335
336,5900
337,5916.6665
338,5933.3335
339,5949.9995
340,5966.666
341,5983.333
342,6000
343,6016.6665
344,6033.3335
345,6050
346,6066.666
347,5763.1577
348,5778.947
349,5794.7363
350,5810.5264
351,5826.316
352,5842.1055
353,5857.8945
354,5873.684
355,5889.473
356,5905.2627
357,5921.0522
358,5936.8423
359,5952.6313
360,5968.421
361,5984.2104
362,5999.9995
363,6015.789
364,6031.5786
365,6047.368
366,5760
367,5775
368,5790
369,5805
370,5820
371,5834.9995
372,5849.9995
373,5864.9995
374,5880
375,5895
376,5910
377,5925
378,5939.9995
379,5954.9995
380,5969.9995
381,5984.9995
382,6000
383,6015
384,6030
385,5757.143
386,5771.4287
387,5785.714
388,5799.9995
389,5814.285
390,5828.5713
391,5842.857
392,5857.143
393,5871.4287
394,5885.714
395,5899.9995
396,5914.285
397,5928.5713
398,5942.857
399,5957.143
400,5971.4287
401,5985.7144
402,6000
403,6014.285
404,6028.5713
405,5768.1816
406,5781.8184
407,5795.4546
408,5809.091
409,5822.727
410,5836.3633
411,5849.9995
412,5863.636
413,5877.2725
414,5890.909
415,5904.5454
416,5918.1816
417,5931.8184
418,5945.4546
419,5959.091
420,5972.727
421,5986.364
422,6000
423,6013.636
424,5765.2173
425,5778.2607
426,5791.3037
427,5804.3477
428,5817.391
429,5830.4346
430,5843.478
431,5856.522
432,5869.5654
433,5882.609
434,5895.6523
435,5908.696
436,5921.7393
437,5934.7827
438,5947.826
439,5960.8696
440,5973.913
441,5986.9565
442,5999.9995
443,5762.5
444,5775
445,5787.5
446,5800
447,5812.5
448,5825
449,5837.5
450,5850
451,5862.5
452,5875
453,5887.5
454,5900
455,5912.5
456,5925
457,5937.5
458,5949.9995
459,5962.5
460,5975
461,5987.5
462,5760
463,5772
464,5784
465,5796
466,5808
467,5820
468,5832
469,5844
470,5856
471,5868
472,5880
473,5892
474,5903.9995
475,5916
476,5928
477,5940
478,5952
479,5964
480,5976
481,5988
482,5769.231
483,5780.769
484,5792.3076
485,5803.846
486,5815.385
487,5826.923
488,5838.4614
489,5850
490,5861.538
491,5873.077
492,5884.615
493,5896.154
494,5907.6924
495,5919.231
496,5930.769
497,5942.3076
498,5953.846
499,5965.385
500,5976.923
501,5766.6665
502,5777.778
503,5788.8887
504,5800
505,5811.1113
506,5822.2217
507,5833.3325
508,5844.4443
509,5855.5557
510,5866.6665
511,5877.778
512,5888.8887
513,5900
514,5911.1113
515,5922.2217
516,5933.3335
517,5944.4443
518,5955.5557
519,5966.6665
520,5764.2856
521,5775
522,5785.714
523,5796.428
524,5807.143
525,5817.857
526,5828.5713
527,5839.2856
528,5850
529,5860.7144
530,5871.4287
531,5882.142
532,5892.857
533,5903.5713
534,5914.2856
535,5925
536,5935.7144
537,5946.4287
538,5957.142
539,5762.0684
540,5772.4136
541,5782.759
542,5793.1035
543,5803.448
544,5813.793
545,5824.1377
546,5834.483
547,5844.827
548,5855.1724
549,5865.517
550,5875.8623
551,5886.207
552,5896.552
553,5906.8965
554,5917.2407
555,5927.5864
556,5937.931
557,5948.276
558,5958.6206
559,5769.9995
560,5780
561,5789.9995
562,5800
563,5809.9995
564,5820
565,5830
566,5840
567,5850
568,5859.9995
569,5870
570,5879.9995
571,5890
572,5900
573,5910
574,5920
575,5929.9995
576,5940
577,5949.9995
578,5767.7417
579,5777.419
580,5787.0967
581,5796.7744
582,5806.451
583,5816.129
584,5825.806
585,5835.484
586,5845.1606
587,5854.839
588,5864.516
589,5874.1934
590,5883.871
591,5893.548
592,5903.2256
593,5912.903
594,5922.5806
595,5932.2573
596,5941.9355
597,5765.625
598,5775
599,5784.375
600,5793.7495
601,5803.125
602,5812.4995
603,5821.875
604,5831.25
605,5840.625
606,5850
607,5859.3745
608,5868.75
609,5878.1245
610,5887.5
611,5896.8745
612,5906.25
613,5915.625
614,5924.9995
615,5934.375
616,5763.6357
617,5772.727
618,5781.818
619,5790.909
620,5800
621,5809.091
622,5818.1816
623,5827.2725
624,5836.364
625,5845.454
626,5854.5454
627,5863.6357
628,5872.727
629,5881.8184
630,5890.909
631,5900
632,5909.0903
633,5918.1816
634,5927.2725
635,5936.364
636,5770.5884
637,5779.4116
638,5788.2354
639,5797.0586
640,5805.8823
641,5814.7056
642,5823.5293
643,5832.3525
644,5841.1763
645,5850
646,5858.823
647,5867.647
648,5876.47
649,5885.294
650,5894.117
651,5902.9414
652,5911.7646
653,5920.5884
654,5929.4116
655,5768.571
656,5777.143
657,5785.714
658,5794.2856
659,5802.857
660,5811.4287
661,5820
662,5828.5713
663,5837.143
664,5845.714
665,5854.2856
666,5862.857
667,5871.4287
668,5880
669,5888.5713
670,5897.143
671,5905.714
672,5914.2856
673,5922.857
674,5766.6665
675,5774.9995
676,5783.3335
677,5791.6665
678,5799.9995
679,5808.3335
680,5816.666
681,5825
682,5833.333
683,5841.6665
684,5849.9995
685,5858.3335
686,5866.6665
687,5874.9995
688,5883.3335
689,5891.666
690,5900
691,5908.333
692,5916.6665
693,5764.8647
694,5772.973
695,5781.081
696,5789.189
697,5797.2974
698,5805.405
699,5813.5137
700,5821.621
701,5829.7295
702,5837.838
703,5845.9453
704,5854.054
705,5862.1616
706,5870.2705
707,5878.378
708,5886.4863
709,5894.5947
710,5902.702
711,5910.811
712,5763.1577
713,5771.0527
714,5778.947
715,5786.8423
716,5794.7363
717,5802.6313
718,5810.5264
719,5818.4204
720,5826.316
721,5834.21
722,5842.1055
723,5849.9995
724,5857.8945
725,5865.7896
726,5873.684
727,5881.579
728,5889.473
729,5897.3687
730,5905.2627
731,5761.5386
732,5769.2305
733,5776.923
734,5784.615
735,5792.307
736,5800
737,5807.692
738,5815.385
739,5823.0767
740,5830.769
741,5838.4614
742,5846.1533
743,5853.846
744,5861.538
745,5869.231
746,5876.923
747,5884.615
748,5892.307
749,5900
750,5907.6924
751,5767.4995
752,5775
753,5782.4995
754,5790
755,5797.4995
756,5805
757,5812.5
758,5820
759,5827.5
760,5834.9995
761,5842.5
762,5849.9995
763,5857.5
764,5864.9995
765,5872.5
766,5880
767,5887.4995
768,5895
769,5902.4995
770,5765.8535
771,5773.1704
772,5780.488
773,5787.8047
774,5795.1216
775,5802.439
776,5809.756
777,5817.073
778,5824.3896
779,5831.7075
780,5839.024
781,5846.3413
782,5853.6587
783,5860.975
784,5868.2925
785,5875.6094
786,5882.927
787,5890.2437
788,5897.561
789,5764.2856
790,5771.4287
791,5778.5713
792,5785.714
793,5792.857
794,5799.9995
795,5807.143
796,5814.285
797,5821.4287
798,5828.5713
799,5835.714
